Timestamp,When did you get your PhD?,PhD01,"In what year did you first apply for tenure track positions or their equivalents? (Give your answer in terms of years post-PhD; if you applied while still a PhD student, choose ""0"")",FirstApplied01,FirstApplied01NY,"In what year did you get your first on campus interview? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstInterview01,FirstInterview01NY,"In what year did you get your first tenure track job offer? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstOffer01,FirstOffer01NY,Which of the following options made you decide to wait a year (or more) to apply? (Choose up to 3),Gender
3/7/2017 11:44:57,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:01:38,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications",Female
2/28/2017 12:07:05,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications",Female
2/27/2017 19:26:38,2013,2013,1,1,1,4,4,4,?,?,?,"waited until had received PhD, waited until had more publications",Female
2/28/2017 12:12:06,2008,2008,1,1,1,2,2,2,4,4,4,"waited until had received PhD, waited until had more publications, advice from PhD or postdoc advisor",Female
2/27/2017 9:53:25,2012,2012,1,1,1,3,3,3,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors",Female
2/27/2017 11:53:04,2011,2011,1,1,1,2,2,2,2,2,2,"waited until had received PhD, waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:49:55,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet, wanted to explore non-tenure track options (e.g., policy, industry), not that many TT jobs on the market that really interested me (w.r.t. location + univ + position) & that fit me",Female
2/28/2017 8:34:34,2014,2014,2,2,2,2,2,2,2,2,2,"waited until had received PhD, waited until had more publications, family responsibilities (including children, eldercare, etc.)",Female
2/28/2017 16:09:17,before 1996,1990,1,1,1,8,8,8,10 or more,10,10,"waited until had received PhD, waited until had more publications, family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 13:14:59,2012,2012,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding, family responsibilities (including children, eldercare, etc.)",Female
2/28/2017 13:29:44,2018 or later,2018,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, wanted to explore non-tenure track options (e.g., policy, industry)",Female
2/27/2017 12:03:19,2014,2014,1,1,1,1,1,1,1,1,1,"waited until had received PhD, waited until had more publications, wasn't interested in a permanent position yet",Female
2/27/2017 10:38:13,?,?,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, wanted to explore non-tenure track options (e.g., policy, industry)",Female
2/28/2017 8:31:00,2012,2012,1,1,1,1,1,1,1,1,1,"waited until had received PhD, wasn't interested in a permanent position yet",Female
2/27/2017 10:27:19,2012,2012,3,3,3,4,4,4,I haven't received a tenure track job offer yet,?,NY,Waiting for husband to finish PhD!,Female
2/28/2017 2:03:59,2010,2010,2,2,2,3,3,3,5,5,5,wanted to explore a new research area before committing to TT position,Female
2/27/2017 13:49:00,2013,2013,1,1,1,1,1,1,1,1,1,"wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 12:50:19,2009,2009,3,3,3,3,3,3,3,3,3,"wanted to explore non-tenure track options (e.g., policy, industry), Didn't think I could get one",Female
2/27/2017 10:53:58,2011,2011,3,3,3,4,4,4,I haven't received a tenure track job offer yet,?,NY,wasn't interested in a permanent position yet,Female
3/3/2017 21:36:40,2000,2000,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 9:46:11,2001,2001,0,0,0,0,0,0,0,0,0,?,Female
2/28/2017 16:35:40,2004,2004,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 23:53:39,2005,2005,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 10:45:13,2008,2008,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 21:44:33,2010,2010,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 10:00:56,2012,2012,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 11:30:05,2012,2012,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 12:35:06,2012,2012,0,0,0,0,0,0,0,0,0,?,Female
2/28/2017 14:08:28,2013,2013,0,0,0,0,0,0,0,0,0,?,Female
2/28/2017 7:54:37,2014,2014,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 15:54:29,2016,2016,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 12:02:46,2017,2017,0,0,0,0,0,0,0,0,0,?,Female
2/27/2017 17:34:05,2012,2012,1,1,1,0,0,0,0,0,0,?,Female
2/27/2017 21:36:35,2010,2010,0,0,0,0,0,0,1,1,1,?,Female
2/27/2017 12:00:55,2010,2010,0,0,0,1,1,1,1,1,1,?,Female
2/27/2017 9:55:48,2012,2012,0,0,0,1,1,1,1,1,1,?,Female
2/27/2017 15:15:28,2015,2015,0,0,0,1,1,1,1,1,1,?,Female
2/27/2017 10:42:19,2012,2012,1,1,1,1,1,1,1,1,1,?,Female
2/28/2017 8:40:12,2000,2000,0,0,0,0,0,0,2,2,2,?,Female
2/27/2017 20:28:28,2013,2013,0,0,0,1,1,1,2,2,2,?,Female
2/27/2017 12:47:06,2009,2009,0,0,0,2,2,2,2,2,2,?,Female
2/28/2017 5:47:52,2012,2012,0,0,0,2,2,2,2,2,2,?,Female
2/27/2017 15:18:32,2001,2001,0,0,0,1,1,1,3,3,3,?,Female
2/27/2017 16:21:09,2005,2005,0,0,0,4,4,4,5,5,5,?,Female
2/27/2017 10:39:47,2003,2003,1,1,1,1,1,1,5,5,5,?,Female
2/27/2017 14:40:54,2017,2017,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,?,Female
2/27/2017 20:22:59,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Female
2/28/2017 3:49:48,2017,2017,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Female
2/27/2017 10:24:19,2014,2014,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,?,Female
2/27/2017 20:22:59,2018 or later,2018,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,?,Female
2/27/2017 13:07:00,2016,2016,1,1,1,?,?,?,?,?,?,?,Female
2/28/2017 21:26:02,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet",Male
3/7/2017 16:33:59,2008,2008,0,0,0,0,0,0,0,0,0,advice from PhD or postdoc advisor,Male
2/27/2017 10:33:20,2008,2008,0,0,0,2,2,2,2,2,2,advice from PhD or postdoc advisor,Male
2/27/2017 11:18:26,2010,2010,4,4,4,5,5,5,5,5,5,"advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 20:25:29,2004,2004,6,6,6,6,6,6,6,6,6,"advice from PhD or postdoc advisor, wasn't interested in a permanent position yet, Didn't want a tenure-track job...",Male
2/27/2017 15:36:40,2012,2012,2,2,2,2,2,2,0,0,0,"already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/3/2017 8:17:12,2012,2012,1,1,1,1,1,1,1,1,1,"already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 22:57:35,?,?,1,1,1,1,1,1,2,2,2,"already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 9:50:42,before 1996,1990,2,2,2,4,4,4,?,?,?,"already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 13:42:04,2008,2008,0,0,0,1,1,1,1,1,1,"already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/28/2017 15:54:07,2012,2012,2,2,2,2,2,2,4,4,4,"already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/27/2017 12:17:02,2014,2014,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/27/2017 10:15:03,2002,2002,0,0,0,1,1,1,2,2,2,applied before 1 year,Male
2/27/2017 9:40:56,before 1996,1990,0,0,0,0,0,0,2,2,2,Did not wait - but probably should have!,Male
2/27/2017 11:00:07,2007,2007,0,0,0,1,1,1,1,1,1,Didn't wait; applied during PhD and immediately after ,Male
2/27/2017 20:07:57,2008,2008,0,0,0,0,0,0,0,0,0,Didn't wait!,Male
3/1/2017 19:09:14,2016,2016,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,Didn't wait. Want a tenure track job now! :),Male
2/27/2017 11:53:45,2013,2013,0,0,0,0,0,0,2,2,2,Didn't want to wait. Just didn't get an offer. ,Male
2/27/2017 9:42:36,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 11:46:26,2009,2009,3,3,3,5,5,5,5,5,5,"family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, great recession and hiring freezes",Male
2/27/2017 12:43:25,2011,2011,1,1,1,1,1,1,1,1,1,"family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 15:15:06,2010,2010,5,5,5,?,?,?,?,?,?,"family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet",Male
2/27/2017 11:58:00,2014,2014,2,2,2,2,2,2,?,?,?,"family responsibilities (including children, eldercare, etc.), Two body problem",Male
2/27/2017 13:06:52,2015,2015,1,1,1,2,2,2,2,2,2,"family responsibilities (including children, eldercare, etc.), wanted to explore a new research area before committing to TT position, wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/27/2017 10:10:50,1999,1999,0,0,0,1,1,1,2,2,2,I didn't wait ,Male
2/27/2017 16:16:34,2014,2014,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,"I didn't wait (not an option on list); applied ASAP because I need to earn a livable salary (still haven't, yet)",Male
2/27/2017 9:50:20,2013,2013,0,0,0,2,2,2,2,2,2,I didn't wait longer than a year to apply (answer 2),Male
2/28/2017 0:19:30,1999,1999,0,0,0,1,1,1,1,1,1,"I didn't wait, I began applying during my candidature",Male
2/27/2017 11:03:10,2009,2009,0,0,0,4,4,4,5,5,5,"I initially applied while finishing my Ph.D., but stopped for 3 years once I got a postdoc because I was happy with the postdoc",Male
2/27/2017 9:44:04,2018 or later,2018,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 15:19:44,2006,2006,2,2,2,3,3,3,3,3,3,"it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/27/2017 10:15:48,2013,2013,0,0,0,3,3,3,I haven't received a tenure track job offer yet,?,NY,N/A since I applied before finishing,Male
2/27/2017 15:09:54,1999,1999,0,0,0,0,0,0,2,2,2,"partner's career, country",Male
2/27/2017 10:36:40,2011,2011,0,0,0,2,2,2,2,2,2,"Started applying during last year of PhD for jobs where I considered myself a good fit; never received a phone or in-person interview invite, suspect that applicant w/out PhD was very easily the first out of the pile.",Male
2/27/2017 21:16:55,2013,2013,2,2,2,2,2,2,2,2,2,Waited for the right job,Male
2/27/2017 12:36:47,2012,2012,2,2,2,2,2,2,2,2,2,"waited until had more grants or other funding, family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 15:25:52,2004,2004,3,3,3,4,4,4,4,4,4,"waited until had more grants or other funding, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 22:12:10,2015,2015,I haven't applied yet,?,NY,?,?,?,?,?,?,"waited until had more grants or other funding, wanted to explore a new research area before committing to TT position",Male
3/13/2017 13:13:38,2012,2012,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more grants or other funding, wanted to explore non-tenure track options (e.g., policy, industry), Lack of a plan for future research.",Male
2/27/2017 12:11:09,1999,1999,1,1,1,1,1,1,1,1,1,waited until had more publications,Male
2/27/2017 11:08:33,2006,2006,1,1,1,2,2,2,2,2,2,waited until had more publications,Male
2/28/2017 6:29:27,2003,2003,2,2,2,2,2,2,2,2,2,waited until had more publications,Male
2/27/2017 12:43:48,2002,2002,2,2,2,2,2,2,3,3,3,waited until had more publications,Male
2/27/2017 10:20:38,2008,2008,1,1,1,2,2,2,4,4,4,waited until had more publications,Male
2/27/2017 9:43:03,2004,2004,10 or more,10,10,10 or more,10,10,10 or more,10,10,waited until had more publications,Male
2/27/2017 14:34:00,2015,2015,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had more publications,Male
2/27/2017 15:59:09,2010,2010,4,4,4,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had more publications,Male
3/5/2017 21:18:58,2015,2015,1,1,1,?,?,?,?,?,?,waited until had more publications,Male
2/27/2017 14:43:07,2000,2000,2,2,2,2,2,2,3,3,3,"waited until had more publications, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 10:31:22,2009,2009,1,1,1,2,2,2,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor",Male
2/27/2017 14:22:11,2003,2003,2,2,2,3,3,3,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor",Male
2/27/2017 16:05:16,2003,2003,3,3,3,3,3,3,4,4,4,"waited until had more publications, advice from PhD or postdoc advisor",Male
2/27/2017 20:25:16,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from PhD or postdoc advisor",Male
2/27/2017 14:45:13,2006,2006,5,5,5,5,5,5,7,7,7,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors",Male
2/27/2017 15:09:27,2010,2010,4,4,4,4,4,4,4,4,4,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position, Didn't feel I was ready to lead a research group",Male
2/27/2017 20:31:33,2015,2015,2,2,2,2,2,2,?,?,?,"waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 1:32:09,?,?,4,4,4,4,4,4,?,?,?,"waited until had more publications, advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position",Male
2/27/2017 11:31:08,2012,2012,1,1,1,3,3,3,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Male
3/4/2017 17:43:37,2002,2002,2,2,2,2,2,2,3,3,3,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/7/2017 9:05:08,2010,2010,2,2,2,3,3,3,4,4,4,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 18:17:35,2005,2005,2,2,2,3,3,3,5,5,5,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 13:21:45,2010,2010,2,2,2,6,6,6,6,6,6,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 13:21:38,before 1996,1990,10 or more,10,10,10 or more,10,10,10 or more,10,10,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/3/2017 11:59:04,2014,2014,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/1/2017 1:14:10,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 13:20:02,?,?,2,2,2,?,?,?,?,?,?,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/3/2017 17:29:10,before 1996,1990,4,4,4,4,4,4,4,4,4,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), competition with accomplished grad student in same lab",Male
2/28/2017 7:36:21,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new geographic area before committing to a TT position",Male
2/27/2017 9:56:07,2010,2010,5,5,5,5,5,5,5,5,5,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/27/2017 10:03:26,2012,2012,4,4,4,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore non-tenure track options (e.g., policy, industry)",Male
3/3/2017 11:54:47,2010,2010,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet",Male
2/28/2017 2:11:55,2009,2009,4,4,4,5,5,5,5,5,5,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there",Male
2/27/2017 13:20:48,2014,2014,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there",Male
2/27/2017 22:50:38,2014,2014,1,1,1,2,2,2,3,3,3,"waited until had more publications, family responsibilities (including children, eldercare, etc.), wasn't interested in a permanent position yet",Male
3/2/2017 22:32:02,2005,2005,1,1,1,3,3,3,3,3,3,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/27/2017 23:25:11,2011,2011,3,3,3,3,3,3,4,4,4,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/27/2017 21:16:14,2011,2011,3,3,3,4,4,4,4,4,4,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/27/2017 21:01:19,2001,2001,10 or more,10,10,10 or more,10,10,10 or more,10,10,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/28/2017 19:32:54,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/27/2017 13:44:11,2014,2014,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/28/2017 2:12:22,?,?,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there",Male
2/27/2017 12:51:19,2012,2012,2,2,2,2,2,2,2,2,2,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 10:13:46,2017,2017,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there, Incompatible with wife's career.",Male
2/27/2017 15:44:09,2011,2011,2,2,2,2,2,2,2,2,2,"waited until had more publications, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Male
3/1/2017 21:41:58,2008,2008,1,1,1,2,2,2,8,8,8,"waited until had more publications, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Male
2/27/2017 11:32:11,2008,2008,5,5,5,5,5,5,5,5,5,"waited until had more publications, waited until had more grants or other funding",Male
2/27/2017 9:50:03,2012,2012,4,4,4,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/28/2017 11:55:09,2008,2008,7,7,7,7,7,7,7,7,7,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Male
2/28/2017 1:41:24,2009,2009,3,3,3,3,3,3,6,6,6,"waited until had more publications, waited until had more grants or other funding, already committed to a fixed term position (e.g., a postdoctoral position)",Male
3/1/2017 16:28:41,2015,2015,2,2,2,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there",Male
2/27/2017 11:47:25,2009,2009,1,1,1,2,2,2,3,3,3,"waited until had more publications, wanted to explore a new research area before committing to TT position",Male
2/28/2017 10:40:42,2007,2007,2,2,2,2,2,2,3,3,3,"waited until had more publications, wanted to explore a new research area before committing to TT position",Male
2/28/2017 16:51:22,2013,2013,2,2,2,3,3,3,?,?,?,"waited until had more publications, wanted to explore a new research area before committing to TT position",Male
2/27/2017 12:26:14,2007,2007,3,3,3,4,4,4,4,4,4,"waited until had more publications, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/27/2017 10:09:48,2008,2008,0,0,0,0,0,0,0,0,0,waited until had received PhD,Male
2/28/2017 5:25:00,2016,2016,1,1,1,1,1,1,1,1,1,waited until had received PhD,Male
3/3/2017 21:02:46,2015,2015,0,0,0,1,1,1,I haven't received a tenure track job offer yet,?,NY,waited until had received PhD,Male
2/27/2017 13:17:02,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had received PhD,Male
2/27/2017 15:54:07,2018 or later,2018,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had received PhD,Male
2/28/2017 1:53:18,2010,2010,1,1,1,?,?,?,?,?,?,waited until had received PhD,Male
2/27/2017 13:12:53,?,?,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/28/2017 13:07:41,2015,2015,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there",Male
3/1/2017 6:55:25,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there",Male
2/27/2017 11:47:12,2015,2015,1,1,1,1,1,1,2,2,2,"waited until had received PhD, advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position",Male
3/3/2017 19:06:51,2017,2017,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, it took a while to work up the courage to put myself out there, wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/27/2017 12:17:26,2018 or later,2018,0,0,0,0,0,0,0,0,0,"waited until had received PhD, waited until had more grants or other funding",Male
3/6/2017 16:43:23,2015,2015,1,1,1,2,2,2,2,2,2,"waited until had received PhD, waited until had more publications",Male
3/7/2017 21:32:44,2013,2013,1,1,1,3,3,3,3,3,3,"waited until had received PhD, waited until had more publications",Male
2/27/2017 22:19:03,2014,2014,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications",Male
2/27/2017 11:19:04,2017,2017,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications",Male
2/27/2017 16:45:30,2014,2014,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 12:01:15,?,?,3,3,3,3,3,3,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, it took a while to work up the courage to put myself out there",Male
3/5/2017 10:18:24,2005,2005,1,1,1,?,?,?,6,6,6,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding",Male
3/6/2017 13:46:57,2014,2014,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding",Male
2/28/2017 3:33:06,2011,2011,5,5,5,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding",Male
2/27/2017 15:19:23,2013,2013,2,2,2,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 12:06:53,2017,2017,?,?,?,?,?,?,?,?,?,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Male
2/27/2017 11:57:07,2014,2014,2,2,2,?,?,?,?,?,?,"waited until had received PhD, waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Male
2/27/2017 15:51:39,2007,2007,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, waited until had more publications, wanted to explore a new research area before committing to TT position",Male
2/27/2017 16:59:31,2013,2013,1,1,1,1,1,1,2,2,2,wanted to explore a new research area before committing to TT position,Male
2/27/2017 9:40:51,2015,2015,2,2,2,3,3,3,3,3,3,wanted to explore a new research area before committing to TT position,Male
2/27/2017 17:29:51,?,?,1,1,1,1,1,1,I haven't received a tenure track job offer yet,?,NY,"wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Male
2/28/2017 12:45:51,?,?,3,3,3,3,3,3,5,5,5,"wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/28/2017 5:56:23,2005,2005,1,1,1,2,2,2,8,8,8,"wanted to explore non-tenure track options (e.g., policy, industry)",Male
2/27/2017 18:17:38,2000,2000,10 or more,10,10,10 or more,10,10,10 or more,10,10,"wanted to explore non-tenure track options (e.g., policy, industry)",Male
